Time, X, Y, Z, errorZ, 
8.65,17.464,0,9.99403,0.00596953,29.4298
8.66667,17.4919,0,9.99405,0.00595283,29.4298
8.68333,17.5194,0,9.99406,0.00593618,29.4298
8.7,17.5467,0,9.99408,0.00591958,29.4298
8.71667,17.5736,0,9.9941,0.00590303,29.4298
8.73333,17.6003,0,9.99411,0.00588652,29.4298
8.75,17.6266,0,9.99413,0.00587006,29.4298
8.76667,17.6527,0,9.99415,0.00585364,29.4298
8.78333,17.6784,0,9.99416,0.00583727,29.4298
8.8,17.7039,0,9.99418,0.00582095,29.4298
8.81667,17.7291,0,9.9942,0.00580467,29.4298
8.83333,17.754,0,9.99421,0.00578843,29.4298
8.85,17.7786,0,9.99423,0.00577225,29.4298
8.86667,17.803,0,9.99424,0.0057561,29.4298
8.88333,17.827,0,9.99426,0.00574001,29.4298
8.9,17.8508,0,9.99428,0.00572395,29.4298
8.91667,17.8744,0,9.99429,0.00570795,29.4298
8.93333,17.8976,0,9.99431,0.00569198,29.4298
8.95,17.9206,0,9.99432,0.00567607,29.4298
8.96667,17.9434,0,9.99434,0.00566019,29.4298
8.98333,17.9659,0,9.99436,0.00564436,29.4298
9,17.9881,0,9.99437,0.00562858,29.4298
